"Abate - Quantidade de animais abatidos nos últimos 16 trimestres, segundo o tipo de rebanho (cabeças)","","","","","","","","","","","","","","","",""
"Rio Grande do Sul","","","","","","","","","","","","","","","",""
"Tipo de rebanho","Trimestre","","","","","","","","","","","","","","",""
"","1º trimestre 2021","2º trimestre 2021","3º trimestre 2021","4º trimestre 2021","1º trimestre 2022","2º trimestre 2022","3º trimestre 2022","4º trimestre 2022","1º trimestre 2023","2º trimestre 2023","3º trimestre 2023","4º trimestre 2023","1º trimestre 2024","2º trimestre 2024","3º trimestre 2024","4º trimestre 2024"
"Bovinos","","","","","","","","","","","","","","","",""
"Total","417634","345193","392117","446670","380565","340964","445550","486872","417279","380547","451589","519023","393526","340873","387532","493004"
"Bois","122369","108038","98771","113522","108769","93304","89154","104125","105501","90312","89462","105052","99204","97409","90879","123494"
"Vacas","144362","125151","144411","150277","112569","112810","155878","177077","131275","130963","185283","201273","141282","127168","153411","183116"
"Novilhos","110352","77750","111365","140334","124559","101792","155084","153325","133120","111334","122614","146749","105967","76646","97189","121286"
"Novilhas","40551","34254","37570","42537","34668","33058","45434","52345","47383","47938","54230","65949","47073","39650","46053","65108"
"Suínos","","","","","","","","","","","","","","","",""
"","2221261","2300726","2431808","2367446","2394038","2425699","2485363","2420828","2463933","2425225","2444434","2371483","2395146","2451798","2645847","2401842"
"Frangos","","","","","","","","","","","","","","","",""
"","218180944","201458293","202465083","208285379","208212903","197490625","209083184","205989217","210742388","201549092","192827104","182688256","189221577","176798683","181578282","190299424"
"Nota:","","","","","","","","","","","","","","","",""
"1 - Os dados divulgados são oriundos de estabelecimentos que estão sob inspeção sanitária federal, estadual ou municipal","","","","","","","","","","","","","","","",""
"2 - Até dezembro de 2005 os dados com menos de 4 (quatro) informantes estão desidentificados com o caracter X. A partir de janeiro de 2006 a desidentificação passou a ser feita para menos de 3 (três) informantes","","","","","","","","","","","","","","","",""
"3 - Os dados dos 4 trimestres do ano são preliminares até a divulgação dos dados do 1º trimestre do ano seguinte","","","","","","","","","","","","","","","",""
"Fonte: IBGE - Pesquisa Trimestral do Abate de Animais","","","","","","","","","","","","","","","",""
