"Taxa de variação do índice de volume trimestral (Brasil - 4º trimestre 2024)","","","",""
"Setores e subsetores","Taxa trimestral (em relação ao mesmo período do ano anterior) (Percentual)","Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) (Percentual)","Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) (Percentual)","Taxa trimestre contra trimestre imediatamente anterior (Percentual)"
"Agropecuária - total","-1.5","-3.2","-3.2","-2.3"
"Indústria - total","2.5","3.3","3.3","0.3"
"Indústrias extrativas","-3.6","0.5","0.5","0.7"
"Indústrias de transformação","5.3","3.8","3.8","0.8"
"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-3.5","3.6","3.6","-1.2"
"Construção","5.1","4.3","4.3","2.5"
"Serviços - total","3.4","3.7","3.7","0.1"
"Comércio","4.7","3.8","3.8","0.3"
"Transporte, armazenagem e correio","3.9","1.9","1.9","0.4"
"Informação e comunicação","6.2","6.2","6.2","-0.4"
"Atividades financeiras, de seguros e serviços relacionados","2","3.7","3.7","-0.3"
"Atividades imobiliárias","2.6","3.3","3.3","0.1"
"Outras atividades de serviços","4.5","5.3","5.3","-0.1"
"Administração, saúde e educação públicas e seguridade social","1.7","1.8","1.8","0"
"Valor adicionado a preços básicos","3.3","3.1","3.1","0"
"Impostos líquidos sobre produtos","6.1","5.5","5.5","-"
"PIB a preços de mercado","3.6","3.4","3.4","0.2"
"Despesa de consumo das famílias","3.7","4.8","4.8","-1"
"Despesa de consumo da administração pública","1.2","1.9","1.9","0.6"
"Formação bruta de capital fixo","9.4","7.3","7.3","0.4"
"Exportação de bens e serviços","-0.7","2.9","2.9","-1.3"
"Importação de bens e serviços (-)","16","14.7","14.7","-0.1"
"Fonte: IBGE - Contas Nacionais Trimestrais.","","","",""
