"Índice e variação de volume de vendas, segundo os segmentos e os tipos de índice/variação - últimos 12 meses","","","","","","","","","","","",""
"Sergipe","","","","","","","","","","","",""
"Segmentos e tipos de índice/variação","fevereiro 2024","março 2024","abril 2024","maio 2024","junho 2024","julho 2024","agosto 2024","setembro 2024","outubro 2024","novembro 2024","dezembro 2024","janeiro 2025"
"Comércio varejista","","","","","","","","","","","",""
"Índice base fixa (Base: 2022 = 100) (número índice)","96.58644","107.17387","101.9433","107.74817","101.79724","105.91439","108.09251","105.09895","111.48721","117.02032","125.85971","102.20476"
"Índice base fixa com ajuste sazonal (Base: 2022 = 100) (número índice)","105.67229","109.4517","108.97241","107.32996","105.32754","107.24778","106.8413","109.99975","109.13968","107.40155","107.78643","103.61416"
"Variação mês / mês anterior com ajuste sazonal","-0.6","3.6","-0.4","-1.5","-1.9","1.8","-0.4","3","-0.8","-1.6","0.4","-3.9"
"Variação mensal (Base: igual mês do ano anterior) (%)","6.8","7.4","5.1","6.5","2.1","3.8","5.7","7.4","10.8","7.5","3.1","-2"
"Variação acumulada no ano (Base: igual período do ano anterior) (%)","5.3","6","5.8","5.9","5.3","5.1","5.1","5.4","5.9","6.1","5.8","-2"
"Variação acumulada de 12 meses (Base: 12 meses imediatamente anteriores aos 12 últimos meses) (%)","1.7","1.7","2","2.5","2.6","2.5","2.7","3.4","4.5","5.5","5.8","5.3"
"Comércio varejista ampliado","","","","","","","","","","","",""
"Índice base fixa (Base: 2022 = 100) (número índice)","98.91377","106.95988","103.80247","106.84298","102.2104","109.03538","109.52335","107.88764","113.12144","114.71417","124.60171","104.14819"
"Índice base fixa com ajuste sazonal (Base: 2022 = 100) (número índice)","107.17218","108.18751","106.10234","107.64921","108.10621","109.1179","108.19836","111.00057","111.00585","107.19999","108.22538","105.70676"
"Variação mês / mês anterior com ajuste sazonal","-1.8","0.9","-1.9","1.5","0.4","0.9","-0.8","2.6","0","-3.4","1","-2.3"
"Variação mensal (Base: igual mês do ano anterior) (%)","10.8","4","9.1","6.1","1.6","8.9","6.5","9.6","9.5","3.6","3.3","-2.8"
"Variação acumulada no ano (Base: igual período do ano anterior) (%)","8.6","7","7.5","7.2","6.2","6.6","6.6","6.9","7.2","6.8","6.5","-2.8"
"Variação acumulada de 12 meses (Base: 12 meses imediatamente anteriores aos 12 últimos meses) (%)","3.2","3.4","4.6","5.6","5.5","5.7","6.1","6.8","6.8","6.9","6.5","5.7"
"Veículos, motocicletas, partes e peças","","","","","","","","","","","",""
"Índice base fixa (Base: 2022 = 100) (número índice)","...","...","...","...","...","...","...","...","...","...","...","..."
"Índice base fixa com ajuste sazonal (Base: 2022 = 100) (número índice)","...","...","...","...","...","...","...","...","...","...","...","..."
"Variação mês / mês anterior com ajuste sazonal","...","...","...","...","...","...","...","...","...","...","...","..."
"Variação mensal (Base: igual mês do ano anterior) (%)","...","...","...","...","...","...","...","...","...","...","...","..."
"Variação acumulada no ano (Base: igual período do ano anterior) (%)","...","...","...","...","...","...","...","...","...","...","...","..."
"Variação acumulada de 12 meses (Base: 12 meses imediatamente anteriores aos 12 últimos meses) (%)","...","...","...","...","...","...","...","...","...","...","...","..."
"Materiais de construção","","","","","","","","","","","",""
"Índice base fixa (Base: 2022 = 100) (número índice)","...","...","...","...","...","...","...","...","...","...","...","..."
"Índice base fixa com ajuste sazonal (Base: 2022 = 100) (número índice)","...","...","...","...","...","...","...","...","...","...","...","..."
"Variação mês / mês anterior com ajuste sazonal","...","...","...","...","...","...","...","...","...","...","...","..."
"Variação mensal (Base: igual mês do ano anterior) (%)","...","...","...","...","...","...","...","...","...","...","...","..."
"Variação acumulada no ano (Base: igual período do ano anterior) (%)","...","...","...","...","...","...","...","...","...","...","...","..."
"Variação acumulada de 12 meses (Base: 12 meses imediatamente anteriores aos 12 últimos meses) (%)","...","...","...","...","...","...","...","...","...","...","...","..."
"Fonte: IBGE - Pesquisa Mensal de Comércio.","","","","","","","","","","","",""
